Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1981","1981","?C","0.627","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1982","1982","?C","0.822","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1983","1983","?C","-0.368","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1984","1984","?C","-0.104","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1985","1985","?C","-0.414","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1986","1986","?C","1.145","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1987","1987","?C","-0.1","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1988","1988","?C","0.684","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1989","1989","?C","0.672","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1990","1990","?C","0.251","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1991","1991","?C","0.948","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1992","1992","?C","-0.067","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1993","1993","?C","0.639","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1994","1994","?C","0.872","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1995","1995","?C","1.907","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1996","1996","?C","1.516","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1997","1997","?C","0.535","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1998","1998","?C","-0.044","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1999","1999","?C","1.766","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2000","2000","?C","1.787","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2001","2001","?C","1.271","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2002","2002","?C","0.208","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2003","2003","?C","1.397","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2004","2004","?C","-0.339","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2005","2005","?C","0.856","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2006","2006","?C","1.392","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2007","2007","?C","0.815","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2008","2008","?C","1.672","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2009","2009","?C","1.747","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2010","2010","?C","-0.709","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2011","2011","?C","0.253","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2012","2012","?C","0.91","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2013","2013","?C","1.286","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2014","2014","?C","2.109","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2015","2015","?C","1.1","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2016","2016","?C","1.843","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2017","2017","?C","2.632","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2018","2018","?C","2.509","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2019","2019","?C","1.946","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","2020","2020","?C","1.316","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1961","1961","?C","0.216","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1962","1962","?C","-0.83","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1963","1963","?C","0.647","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1964","1964","?C","-0.341","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1965","1965","?C","-0.88","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1966","1966","?C","-0.512","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1967","1967","?C","0.768","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1968","1968","?C","-1.58","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1969","1969","?C","-1.337","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1970","1970","?C","-0.746","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1971","1971","?C","0.548","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1972","1972","?C","1.268","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1973","1973","?C","0.17","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1974","1974","?C","0.855","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1975","1975","?C","0.409","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1976","1976","?C","0.466","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1977","1977","?C","-0.326","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1978","1978","?C","0.138","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1979","1979","?C","-0.012","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1980","1980","?C","0.624","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1981","1981","?C","-0.381","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1982","1982","?C","1.105","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1983","1983","?C","-0.673","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1984","1984","?C","0.439","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1985","1985","?C","0.629","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1986","1986","?C","0.078","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1987","1987","?C","-0.932","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1988","1988","?C","-0.005","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1989","1989","?C","0.238","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1990","1990","?C","0.343","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1991","1991","?C","0.741","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1992","1992","?C","0.241","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1993","1993","?C","0.186","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1994","1994","?C","0.689","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1995","1995","?C","0.658","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1996","1996","?C","-0.215","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1997","1997","?C","1.206","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1998","1998","?C","-0.039","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","1999","1999","?C","0.807","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2000","2000","?C","1.209","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2001","2001","?C","-0.185","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2002","2002","?C","0.588","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2003","2003","?C","0.65","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2004","2004","?C","1.598","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2005","2005","?C","0.369","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2006","2006","?C","1.085","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2007","2007","?C","1.14","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2008","2008","?C","0.379","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2009","2009","?C","1.111","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2010","2010","?C","-0.38","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2011","2011","?C","1.785","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2012","2012","?C","1.122","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2013","2013","?C","0.804","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2014","2014","?C","1.138","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2015","2015","?C","0.455","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2016","2016","?C","1.653","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2017","2017","?C","2.207","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2018","2018","?C","1.958","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2019","2019","?C","1.123","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7003","March","2020","2020","?C","2.353","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1961","1961","?C","0.22","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1962","1962","?C","0.056","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1963","1963","?C","0.976","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1964","1964","?C","0.413","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1965","1965","?C","0.412","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1966","1966","?C","-0.019","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1967","1967","?C","0.335","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1968","1968","?C","-0.561","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1969","1969","?C","0.429","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1970","1970","?C","0.124","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1971","1971","?C","-0.869","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1972","1972","?C","1.015","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1973","1973","?C","-0.904","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1974","1974","?C","0.151","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1975","1975","?C","-0.284","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1976","1976","?C","-0.564","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1977","1977","?C","-0.945","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1978","1978","?C","0.234","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1979","1979","?C","0.272","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1980","1980","?C","-0.437","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1981","1981","?C","0.217","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1982","1982","?C","1.165","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1983","1983","?C","-1.111","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1984","1984","?C","0.378","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1985","1985","?C","-0.052","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1986","1986","?C","1.243","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1987","1987","?C","-1","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1988","1988","?C","0.115","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1989","1989","?C","0.785","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1990","1990","?C","0.53","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1991","1991","?C","0.841","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1992","1992","?C","-0.061","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1993","1993","?C","0.177","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1994","1994","?C","0.246","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1995","1995","?C","0.062","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1996","1996","?C","0.18","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1997","1997","?C","-1.075","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1998","1998","?C","0.005","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","1999","1999","?C","0.7","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2000","2000","?C","0.963","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2001","2001","?C","0.62","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2002","2002","?C","1.514","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2003","2003","?C","0.652","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2004","2004","?C","-0.048","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2005","2005","?C","0.575","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2006","2006","?C","1.574","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2007","2007","?C","0.288","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2008","2008","?C","0.977","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2009","2009","?C","0.644","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2010","2010","?C","0.238","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2011","2011","?C","2.039","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2012","2012","?C","1.04","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2013","2013","?C","0.719","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2014","2014","?C","1.09","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2015","2015","?C","1.022","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2016","2016","?C","1.13","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2017","2017","?C","1.265","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2018","2018","?C","1.17","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2019","2019","?C","0.847","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7004","April","2020","2020","?C","1.971","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7005","May","1961","1961","?C","0.686","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7005","May","1962","1962","?C","-0.062","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7005","May","1963","1963","?C","0.529","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7005","May","1964","1964","?C","0.216","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7005","May","1965","1965","?C","-0.042","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7005","May","1966","1966","?C","0.191","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7005","May","1967","1967","?C","0.193","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7005","May","1968","1968","?C","-0.151","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7005","May","1969","1969","?C","0.044","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7005","May","1970","1970","?C","-0.444","Fc","Calculated data"
